"","file","Replicate","Resonance","Area","Name"
"217","13C-VANB-1","7","C1",652.191,"TopSpin"
"218","13C-VANB-1","7","C2",640.048,"TopSpin"
"219","13C-VANB-1","7","C3",637.761,"TopSpin"
"220","13C-VANB-1","7","C4",637.278,"TopSpin"
"221","13C-VANB-1","7","C5",644.707,"TopSpin"
"222","13C-VANB-1","7","C6",643.033,"TopSpin"
"223","13C-VANB-1","7","C7",643.036,"TopSpin"
"224","13C-VANB-1","7","C8",648.798,"TopSpin"
"225","13C-VANB-1","8","C1",651.598,"TopSpin"
"226","13C-VANB-1","8","C2",639.368,"TopSpin"
"227","13C-VANB-1","8","C3",636.287,"TopSpin"
"228","13C-VANB-1","8","C4",635.506,"TopSpin"
"229","13C-VANB-1","8","C5",643.305,"TopSpin"
"230","13C-VANB-1","8","C6",640.784,"TopSpin"
"231","13C-VANB-1","8","C7",642.15,"TopSpin"
"232","13C-VANB-1","8","C8",648.555,"TopSpin"
"233","13C-VANB-1","9","C1",652.541,"TopSpin"
"234","13C-VANB-1","9","C2",639.616,"TopSpin"
"235","13C-VANB-1","9","C3",636.461,"TopSpin"
"236","13C-VANB-1","9","C4",635.044,"TopSpin"
"237","13C-VANB-1","9","C5",644.761,"TopSpin"
"238","13C-VANB-1","9","C6",642.504,"TopSpin"
"239","13C-VANB-1","9","C7",644.624,"TopSpin"
"240","13C-VANB-1","9","C8",649.156,"TopSpin"
"241","13C-VAN-4","4","C1",130169.6,"MestReNova"
"242","13C-VAN-4","4","C2",121935.5,"MestReNova"
"243","13C-VAN-4","4","C3",121842.57,"MestReNova"
"244","13C-VAN-4","4","C4",121001.88,"MestReNova"
"245","13C-VAN-4","4","C5",113852.73,"MestReNova"
"246","13C-VAN-4","4","C6",133449.04,"MestReNova"
"247","13C-VAN-4","4","C7",125753.3,"MestReNova"
"248","13C-VAN-4","4","C8",119876.89,"MestReNova"
"249","13C-VAN-4","5","C1",124948.18,"MestReNova"
"250","13C-VAN-4","5","C2",121993.3,"MestReNova"
"251","13C-VAN-4","5","C3",122074.53,"MestReNova"
"252","13C-VAN-4","5","C4",120558.54,"MestReNova"
"253","13C-VAN-4","5","C5",122524.48,"MestReNova"
"254","13C-VAN-4","5","C6",122471.12,"MestReNova"
"255","13C-VAN-4","5","C7",123526.67,"MestReNova"
"256","13C-VAN-4","5","C8",119687.4,"MestReNova"
"257","13C-VAN-4","6","C1",124755.7,"MestReNova"
"258","13C-VAN-4","6","C2",122300.7,"MestReNova"
"259","13C-VAN-4","6","C3",122023.95,"MestReNova"
"260","13C-VAN-4","6","C4",121455.53,"MestReNova"
"261","13C-VAN-4","6","C5",122228.85,"MestReNova"
"262","13C-VAN-4","6","C6",122525.99,"MestReNova"
"263","13C-VAN-4","6","C7",122353.25,"MestReNova"
"264","13C-VAN-4","6","C8",119805.1,"MestReNova"
"265","13C-VAN-4","7","C1",124894.69,"MestReNova"
"266","13C-VAN-4","7","C2",122224.15,"MestReNova"
"267","13C-VAN-4","7","C3",122368.06,"MestReNova"
"268","13C-VAN-4","7","C4",121373.36,"MestReNova"
"269","13C-VAN-4","7","C5",123974.83,"MestReNova"
"270","13C-VAN-4","7","C6",122737.62,"MestReNova"
"271","13C-VAN-4","7","C7",123945.05,"MestReNova"
"272","13C-VAN-4","7","C8",120144.25,"MestReNova"
"273","13C-VAN-4","8","C1",125349.39,"MestReNova"
"274","13C-VAN-4","8","C2",122838.13,"MestReNova"
"275","13C-VAN-4","8","C3",122523.63,"MestReNova"
"276","13C-VAN-4","8","C4",121642.29,"MestReNova"
"277","13C-VAN-4","8","C5",122772.82,"MestReNova"
"278","13C-VAN-4","8","C6",122786.45,"MestReNova"
"279","13C-VAN-4","8","C7",123817.68,"MestReNova"
"280","13C-VAN-4","8","C8",120226.16,"MestReNova"
"281","13C-VAN-4","9","C1",125490.83,"MestReNova"
"282","13C-VAN-4","9","C2",122676.89,"MestReNova"
"283","13C-VAN-4","9","C3",122483.26,"MestReNova"
"284","13C-VAN-4","9","C4",121521.71,"MestReNova"
"285","13C-VAN-4","9","C5",122492.54,"MestReNova"
"286","13C-VAN-4","9","C6",122766.42,"MestReNova"
"287","13C-VAN-4","9","C7",122629.25,"MestReNova"
"288","13C-VAN-4","9","C8",120400.96,"MestReNova"
"289","13C-VAN-8","4","C1",125058.34,"MestReNova"
"290","13C-VAN-8","4","C2",122429.12,"MestReNova"
"291","13C-VAN-8","4","C3",122521.74,"MestReNova"
"292","13C-VAN-8","4","C4",119138.35,"MestReNova"
"293","13C-VAN-8","4","C5",123542.75,"MestReNova"
"294","13C-VAN-8","4","C6",123318.8,"MestReNova"
"295","13C-VAN-8","4","C7",121242.46,"MestReNova"
"296","13C-VAN-8","4","C8",123968.37,"MestReNova"
"297","13C-VAN-8","5","C1",125557.55,"MestReNova"
"298","13C-VAN-8","5","C2",123098.15,"MestReNova"
"299","13C-VAN-8","5","C3",122881.14,"MestReNova"
"300","13C-VAN-8","5","C4",114303.86,"MestReNova"
"301","13C-VAN-8","5","C5",123214.36,"MestReNova"
"302","13C-VAN-8","5","C6",123381.76,"MestReNova"
"303","13C-VAN-8","5","C7",121743.09,"MestReNova"
"304","13C-VAN-8","5","C8",123745.88,"MestReNova"
"305","13C-VAN-8","6","C1",126515.44,"MestReNova"
"306","13C-VAN-8","6","C2",122874.23,"MestReNova"
"307","13C-VAN-8","6","C3",122674.77,"MestReNova"
"308","13C-VAN-8","6","C4",114507.27,"MestReNova"
"309","13C-VAN-8","6","C5",123119.72,"MestReNova"
"310","13C-VAN-8","6","C6",123388.13,"MestReNova"
"311","13C-VAN-8","6","C7",121528.87,"MestReNova"
"312","13C-VAN-8","6","C8",124125,"MestReNova"
"313","13C-VAN-8","7","C1",126766.71,"MestReNova"
"314","13C-VAN-8","7","C2",123181.5,"MestReNova"
"315","13C-VAN-8","7","C3",124543.84,"MestReNova"
"316","13C-VAN-8","7","C4",114493.24,"MestReNova"
"317","13C-VAN-8","7","C5",123664.16,"MestReNova"
"318","13C-VAN-8","7","C6",123842.39,"MestReNova"
"319","13C-VAN-8","7","C7",122486.6,"MestReNova"
"320","13C-VAN-8","7","C8",124186.53,"MestReNova"
"321","13C-VAN-8","8","C1",127785.25,"MestReNova"
"322","13C-VAN-8","8","C2",123067.18,"MestReNova"
"323","13C-VAN-8","8","C3",123416.03,"MestReNova"
"324","13C-VAN-8","8","C4",114895.75,"MestReNova"
"325","13C-VAN-8","8","C5",123860.51,"MestReNova"
"326","13C-VAN-8","8","C6",128534.21,"MestReNova"
"327","13C-VAN-8","8","C7",122155.52,"MestReNova"
"328","13C-VAN-8","8","C8",124561.17,"MestReNova"
"329","13C-VAN-8","9","C1",125613.84,"MestReNova"
"330","13C-VAN-8","9","C2",123500.26,"MestReNova"
"331","13C-VAN-8","9","C3",123252.47,"MestReNova"
"332","13C-VAN-8","9","C4",122282.13,"MestReNova"
"333","13C-VAN-8","9","C5",121076.4,"MestReNova"
"334","13C-VAN-8","9","C6",123775.92,"MestReNova"
"335","13C-VAN-8","9","C7",121970.51,"MestReNova"
"336","13C-VAN-8","9","C8",124261.15,"MestReNova"
"337","13C-VANA-1","4","C1",124597.48,"MestReNova"
"338","13C-VANA-1","4","C2",122056.89,"MestReNova"
"339","13C-VANA-1","4","C3",122312.95,"MestReNova"
"340","13C-VANA-1","4","C4",121035.05,"MestReNova"
"341","13C-VANA-1","4","C5",132139.74,"MestReNova"
"342","13C-VANA-1","4","C6",122526.45,"MestReNova"
"343","13C-VANA-1","4","C7",126558.74,"MestReNova"
"344","13C-VANA-1","4","C8",120977.26,"MestReNova"
"345","13C-VANA-1","5","C1",124690.39,"MestReNova"
"346","13C-VANA-1","5","C2",121871.14,"MestReNova"
"347","13C-VANA-1","5","C3",122318.23,"MestReNova"
"348","13C-VANA-1","5","C4",120947.43,"MestReNova"
"349","13C-VANA-1","5","C5",128561.99,"MestReNova"
"350","13C-VANA-1","5","C6",122655.59,"MestReNova"
"351","13C-VANA-1","5","C7",126493.51,"MestReNova"
"352","13C-VANA-1","5","C8",120950.76,"MestReNova"
"353","13C-VANA-1","6","C1",124861.7,"MestReNova"
"354","13C-VANA-1","6","C2",122717.62,"MestReNova"
"355","13C-VANA-1","6","C3",122273.44,"MestReNova"
"356","13C-VANA-1","6","C4",120954.43,"MestReNova"
"357","13C-VANA-1","6","C5",123344.18,"MestReNova"
"358","13C-VANA-1","6","C6",122628.64,"MestReNova"
"359","13C-VANA-1","6","C7",127162.8,"MestReNova"
"360","13C-VANA-1","6","C8",120937.05,"MestReNova"
"361","13C-VANA-1","7","C1",125056.7,"MestReNova"
"362","13C-VANA-1","7","C2",122274.92,"MestReNova"
"363","13C-VANA-1","7","C3",122299.06,"MestReNova"
"364","13C-VANA-1","7","C4",120992.3,"MestReNova"
"365","13C-VANA-1","7","C5",115219.33,"MestReNova"
"366","13C-VANA-1","7","C6",125140.26,"MestReNova"
"367","13C-VANA-1","7","C7",126476.15,"MestReNova"
"368","13C-VANA-1","7","C8",120998.88,"MestReNova"
"369","13C-VANA-1","8","C1",125054.1,"MestReNova"
"370","13C-VANA-1","8","C2",123292.86,"MestReNova"
"371","13C-VANA-1","8","C3",122226.54,"MestReNova"
"372","13C-VANA-1","8","C4",121300.42,"MestReNova"
"373","13C-VANA-1","8","C5",115429.06,"MestReNova"
"374","13C-VANA-1","8","C6",122755.35,"MestReNova"
"375","13C-VANA-1","8","C7",122501.42,"MestReNova"
"376","13C-VANA-1","8","C8",121040.03,"MestReNova"
"377","13C-VANA-1","9","C1",125476.14,"MestReNova"
"378","13C-VANA-1","9","C2",122199.22,"MestReNova"
"379","13C-VANA-1","9","C3",122318.36,"MestReNova"
"380","13C-VANA-1","9","C4",121568.9,"MestReNova"
"381","13C-VANA-1","9","C5",122454.24,"MestReNova"
"382","13C-VANA-1","9","C6",123095.62,"MestReNova"
"383","13C-VANA-1","9","C7",122476.89,"MestReNova"
"384","13C-VANA-1","9","C8",121175,"MestReNova"
"385","13C-VANB-1","4","C1",124846.65,"MestReNova"
"386","13C-VANB-1","4","C2",116082.21,"MestReNova"
"387","13C-VANB-1","4","C3",122362.72,"MestReNova"
"388","13C-VANB-1","4","C4",121531.06,"MestReNova"
"389","13C-VANB-1","4","C5",123216.84,"MestReNova"
"390","13C-VANB-1","4","C6",123164.47,"MestReNova"
"391","13C-VANB-1","4","C7",123411.49,"MestReNova"
"392","13C-VANB-1","4","C8",123639.51,"MestReNova"
"393","13C-VANB-1","5","C1",125159.71,"MestReNova"
"394","13C-VANB-1","5","C2",116110.18,"MestReNova"
"395","13C-VANB-1","5","C3",124853.19,"MestReNova"
"396","13C-VANB-1","5","C4",121829.97,"MestReNova"
"397","13C-VANB-1","5","C5",123290,"MestReNova"
"398","13C-VANB-1","5","C6",123235.04,"MestReNova"
"399","13C-VANB-1","5","C7",123173.28,"MestReNova"
"400","13C-VANB-1","5","C8",124229.98,"MestReNova"
"401","13C-VANB-1","6","C1",125124.11,"MestReNova"
"402","13C-VANB-1","6","C2",116823.4,"MestReNova"
"403","13C-VANB-1","6","C3",122387.87,"MestReNova"
"404","13C-VANB-1","6","C4",121655.18,"MestReNova"
"405","13C-VANB-1","6","C5",123601.47,"MestReNova"
"406","13C-VANB-1","6","C6",123384.15,"MestReNova"
"407","13C-VANB-1","6","C7",122933.2,"MestReNova"
"408","13C-VANB-1","6","C8",124059.23,"MestReNova"
"409","13C-VANB-1","7","C1",125468.71,"MestReNova"
"410","13C-VANB-1","7","C2",116592.3,"MestReNova"
"411","13C-VANB-1","7","C3",122561.89,"MestReNova"
"412","13C-VANB-1","7","C4",122003.94,"MestReNova"
"413","13C-VANB-1","7","C5",123345.51,"MestReNova"
"414","13C-VANB-1","7","C6",123397.51,"MestReNova"
"415","13C-VANB-1","7","C7",123035.83,"MestReNova"
"416","13C-VANB-1","7","C8",124246.64,"MestReNova"
"417","13C-VANB-1","8","C1",125517.07,"MestReNova"
"418","13C-VANB-1","8","C2",122802.15,"MestReNova"
"419","13C-VANB-1","8","C3",122373.97,"MestReNova"
"420","13C-VANB-1","8","C4",121679.94,"MestReNova"
"421","13C-VANB-1","8","C5",123383.06,"MestReNova"
"422","13C-VANB-1","8","C6",123131.67,"MestReNova"
"423","13C-VANB-1","8","C7",122911.37,"MestReNova"
"424","13C-VANB-1","8","C8",124291.98,"MestReNova"
"425","13C-VANB-1","9","C1",125514.75,"MestReNova"
"426","13C-VANB-1","9","C2",122692.83,"MestReNova"
"427","13C-VANB-1","9","C3",122308.81,"MestReNova"
"428","13C-VANB-1","9","C4",121472.51,"MestReNova"
"429","13C-VANB-1","9","C5",123714.4,"MestReNova"
"430","13C-VANB-1","9","C6",123287.4,"MestReNova"
"431","13C-VANB-1","9","C7",123391.96,"MestReNova"
"432","13C-VANB-1","9","C8",124501.76,"MestReNova"
"433","13C-VAN-1","4","C1",127305.74,"MestReNova"
"434","13C-VAN-1","4","C2",122090.4,"MestReNova"
"435","13C-VAN-1","4","C3",122605.35,"MestReNova"
"436","13C-VAN-1","4","C4",120758.63,"MestReNova"
"437","13C-VAN-1","4","C5",122131.64,"MestReNova"
"438","13C-VAN-1","4","C6",122382.12,"MestReNova"
"439","13C-VAN-1","4","C7",121596.58,"MestReNova"
"440","13C-VAN-1","4","C8",121832.34,"MestReNova"
"441","13C-VAN-1","5","C1",124978.19,"MestReNova"
"442","13C-VAN-1","5","C2",122035.58,"MestReNova"
"443","13C-VAN-1","5","C3",122279.91,"MestReNova"
"444","13C-VAN-1","5","C4",131144.87,"MestReNova"
"445","13C-VAN-1","5","C5",120107.89,"MestReNova"
"446","13C-VAN-1","5","C6",122672.25,"MestReNova"
"447","13C-VAN-1","5","C7",106039.59,"MestReNova"
"448","13C-VAN-1","5","C8",122263.25,"MestReNova"
"449","13C-VAN-1","6","C1",125206.27,"MestReNova"
"450","13C-VAN-1","6","C2",123914.48,"MestReNova"
"451","13C-VAN-1","6","C3",121888.89,"MestReNova"
"452","13C-VAN-1","6","C4",121359.75,"MestReNova"
"453","13C-VAN-1","6","C5",120644.39,"MestReNova"
"454","13C-VAN-1","6","C6",122698.18,"MestReNova"
"455","13C-VAN-1","6","C7",122251.2,"MestReNova"
"456","13C-VAN-1","6","C8",122184.09,"MestReNova"
"457","13C-VAN-1","7","C1",121885.22,"MestReNova"
"458","13C-VAN-1","7","C2",122261.59,"MestReNova"
"459","13C-VAN-1","7","C3",122640.54,"MestReNova"
"460","13C-VAN-1","7","C4",120966.88,"MestReNova"
"461","13C-VAN-1","7","C5",124119.04,"MestReNova"
"462","13C-VAN-1","7","C6",122654.89,"MestReNova"
"463","13C-VAN-1","7","C7",107011.98,"MestReNova"
"464","13C-VAN-1","7","C8",122172.7,"MestReNova"
"465","13C-VAN-1","8","C1",125156.11,"MestReNova"
"466","13C-VAN-1","8","C2",122291.08,"MestReNova"
"467","13C-VAN-1","8","C3",122907.71,"MestReNova"
"468","13C-VAN-1","8","C4",121347.35,"MestReNova"
"469","13C-VAN-1","8","C5",122271.94,"MestReNova"
"470","13C-VAN-1","8","C6",122939.9,"MestReNova"
"471","13C-VAN-1","8","C7",106471.36,"MestReNova"
"472","13C-VAN-1","8","C8",122323.11,"MestReNova"
